"match_id","maximum_runs","player_name"
829716,23,"I Sharma"
829718,17,"SP Narine"
829720,19,"AD Mathews"
829722,20,"Anureet Singh"
829724,20,"HV Patel"
829724,20,"AN Ahmed"
829726,20,"TG Southee"
829728,19,"PJ Cummins"
829730,19,"A Mishra"
829732,12,"CH Morris"
829732,12,"P Kumar"
829732,12,"JP Faulkner"
829732,12,"TA Boult"
829732,12,"TG Southee"
829734,26,"RA Jadeja"
829736,18,"DJ Muthuswami"
829738,19,"AR Patel"
829740,17,"PV Tambe"
829742,24,"SL Malinga"
829742,24,"AN Ahmed"
829744,20,"SP Narine"
829748,15,"PP Chawla"
829750,19,"MM Sharma"
829750,19,"YS Chahal"
829752,20,"KA Pollard"
829754,16,"SR Watson"
829756,18,"Harbhajan Singh"
829758,22,"Karanveer Singh"
829762,14,"DJ Muthuswami"
829762,14,"A Mishra"
829764,16,"Sandeep Sharma"
829766,18,"Z Khan"
829770,15,"UT Yadav"
829772,19,"SN Thakur"
829774,20,"SR Watson"
829776,18,"UT Yadav"
829776,18,"PP Chawla"
829778,22,"MM Sharma"
829780,18,"MG Johnson"
829782,19,"GS Sandhu"
829784,15,"Iqbal Abdulla"
829784,15,"YS Chahal"
829786,21,"J Botha"
829788,16,"MJ McClenaghan"
829790,24,"Sandeep Sharma"
829792,22,"P Kumar"
829794,25,"P Negi"
829796,24,"AR Patel"
829798,22,"P Kumar"
829800,25,"JJ Bumrah"
829802,17,"JP Faulkner"
829804,22,"I Sharma"
829806,20,"IC Pandey"
829808,20,"S Aravind"
829810,18,"UT Yadav"
829812,24,"B Kumar"
829814,17,"Anureet Singh"
829816,20,"JP Faulkner"
829820,22,"KV Sharma"
829822,17,"MJ McClenaghan"
829824,19,"Ankit Sharma"
829826,19,"SK Raina"
829828,23,"A Nehra"
980906,20,"JJ Bumrah"
980908,16,"Z Khan"
980910,15,"MP Stoinis"
980912,28,"B Kumar"
980914,18,"J Suchith"
980914,18,"AD Russell"
980916,20,"M Ashwin"
980916,20,"DJ Bravo"
980918,17,"MG Johnson"
980920,14,"KV Sharma"
980920,14,"Mustafizur Rahman"
980922,17,"JP Faulkner"
980924,15,"NLTC Perera"
980924,15,"KJ Abbott"
980926,21,"Z Khan"
980928,26,"Bipul Sharma"
980930,18,"AD Russell"
980932,19,"VR Aaron"
980934,18,"P Kumar"
980936,25,"HV Patel"
980938,19,"P Negi"
980940,18,"Sandeep Sharma"
980942,25,"KW Richardson"
980944,17,"Ankit Sharma"
980944,17,"M Morkel"
980946,16,"P Sahu"
980948,17,"Bipul Sharma"
980950,21,"DR Smith"
980952,23,"R Sathish"
980954,24,"JA Morkel"
980956,22,"CR Brathwaite"
980958,19,"MC Henriques"
980958,19,"KW Richardson"
980960,17,"RA Jadeja"
980962,20,"KH Pandya"
980964,24,"SR Watson"
980966,16,"SK Raina"
980968,17,"GB Hogg"
980970,20,"Mohammed Shami"
980972,16,"PJ Sangwan"
980972,16,"P Kumar"
980974,20,"NLTC Perera"
980976,17,"MP Stoinis"
980978,14,"KA Pollard"
980978,14,"MJ McClenaghan"
980978,14,"TG Southee"
980980,17,"M Morkel"
980982,20,"MP Stoinis"
980984,15,"B Kumar"
980984,15,"AB Dinda"
980986,23,"KA Pollard"
980988,17,"J Yadav"
980990,17,"KC Cariappa"
980990,17,"AR Patel"
980992,30,"DJ Bravo"
980992,30,"S Kaushik"
980994,22,"R Ashwin"
980996,19,"MM Sharma"
980998,23,"Imran Tahir"
981000,17,"AD Russell"
981002,22,"NLTC Perera"
981004,19,"KC Cariappa"
981004,19,"KJ Abbott"
981006,16,"AS Rajpoot"
981008,15,"NM Coulter-Nile"
981010,23,"AR Patel"
981012,19,"JJ Bumrah"
981014,19,"KV Sharma"
981016,14,"A Mishra"
981016,14,"YS Chahal"
981018,21,"SR Watson"
981020,15,"JO Holder"
981022,19,"DR Smith"
981022,19,"DJ Bravo"
981024,24,"SR Watson"
